states,Year,Milk_Production_MT_State,Rank
Punjab,2001-02,892.0,1.0
Haryana,2001-02,645.0,2.0
Rajasthan,2001-02,376.0,3.0
Jammu & Kashmir,2001-02,367.0,4.0
Uttarakhand,2001-02,344.0,5.0
Himachal Pradesh,2001-02,341.0,6.0
Telangana,2014-15,321.0,7.0
Gujarat,2001-02,317.0,8.0
Karnataka,2001-02,249.0,9.0
Uttar Pradesh,2001-02,241.0,10.0
Madhya Pradesh,2001-02,240.0,11.0
Kerala,2001-02,234.0,12.0
All India,2001-02,225.0,13.0
Tamilnadu,2001-02,219.0,14.0
Andhra Pradesh,2001-02,209.0,15.0
Sikkim,2001-02,187.0,16.0
A&N Islands,2001-02,177.0,17.0
Maharashtra,2001-02,172.0,18.0
Chandigarh,2001-02,131.0,19.0
West Bengal,2001-02,120.0,20.0
Arunachal Pradesh,2001-02,105.0,21.0
Chhattisgarh,2001-02,105.0,21.0
Pondicherry,2001-02,104.0,22.0
Dadra & Nagar Haveli,2001-02,100.0,23.0
Jharkhand,2001-02,96.0,24.0
Goa,2001-02,91.0,25.0
Lakshadweep,2001-02,90.0,26.0
Bihar,2001-02,88.0,27.0
Manipur,2001-02,86.0,28.0
Nagaland,2001-02,78.0,29.0
Meghalaya,2001-02,78.0,29.0
Tripura,2001-02,77.0,30.0
Assam,2001-02,70.0,31.0
Orissa,2001-02,69.0,32.0
Delhi,2001-02,58.0,33.0
Mizoram,2001-02,43.0,34.0
Daman & Diu,2001-02,17.0,35.0
